hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,booking_changes,customer_type,adr,arrival_date_year,arrival_date_month,arrival_date_day_of_month,is_canceled,total_stay,total_guests,is_family,lead_time_group,arrival_date,arrival_year,arrival_month,arrival_day
1,35,2,9,3,1,0,1,1,1,0,1,0,2,70.06,2024,May,4,1,11,4,1,Medium,2022-03-16,2022,3,16
1,15,1,1,3,1,1,0,2,0,1,3,1,0,135.35,2024,January,16,1,2,5,1,Short,2023-10-23,2023,10,23
1,205,0,2,3,0,1,2,1,0,1,3,1,0,134.77,2023,May,22,0,2,4,1,Long,2023-12-27,2023,12,27
0,161,1,2,2,1,1,2,2,1,1,2,0,0,152.36,2024,September,30,0,3,4,1,Long,2024-12-03,2024,12,3
0,199,2,6,3,1,0,0,1,0,0,0,0,0,475.36,2023,August,19,0,8,4,1,Long,2024-08-23,2024,8,23
0,204,0,3,2,0,0,3,0,0,1,1,2,2,55.79,2024,August,28,0,3,2,1,Long,2024-11-07,2024,11,7
0,156,0,4,3,0,1,1,2,0,1,3,2,2,343.47,2024,October,16,0,4,4,1,Long,2023-09-09,2023,9,9
0,318,1,2,2,2,1,2,1,1,1,1,0,0,103.25,2022,March,22,0,3,5,1,Long,2024-02-26,2024,2,26
1,298,1,6,2,0,0,2,1,1,1,3,2,0,231.46,2022,December,27,0,7,2,1,Long,2024-01-11,2024,1,11
0,18,2,3,2,2,0,1,1,1,1,0,0,1,226.25,2024,May,1,1,5,4,1,Short,2023-10-11,2023,10,11
0,137,1,9,2,2,1,3,0,1,1,4,1,0,250.12,2023,May,29,1,10,5,1,Long,2022-12-03,2022,12,3
1,55,2,4,3,2,0,1,2,1,0,3,0,1,377.27,2024,September,6,0,6,5,1,Medium,2024-09-05,2024,9,5
0,187,0,2,2,0,1,1,1,0,0,0,0,1,258.86,2023,October,18,0,2,3,1,Long,2022-12-05,2022,12,5
1,42,2,9,2,0,0,3,0,1,0,0,0,1,113.44,2024,April,17,0,11,2,1,Medium,2024-05-20,2024,5,20
0,303,1,4,2,2,0,2,0,1,0,2,0,1,276.81,2024,April,13,1,5,4,1,Long,2022-06-01,2022,6,1
1,295,1,8,2,2,0,0,2,0,0,3,2,2,299.96,2023,February,6,0,9,4,1,Long,2024-10-07,2024,10,7
0,289,0,3,1,1,0,3,1,1,0,2,2,2,56.67,2023,June,26,0,3,2,1,Long,2022-09-15,2022,9,15
0,112,1,5,3,1,1,1,1,0,0,0,0,2,111.08,2024,May,11,0,6,5,1,Long,2022-11-04,2022,11,4
1,128,0,1,1,2,1,1,1,1,0,1,2,1,58.77,2024,March,14,0,1,4,1,Long,2023-11-27,2023,11,27
1,274,2,4,1,1,1,3,2,0,0,1,1,0,379.16,2022,March,16,1,6,3,1,Long,2024-01-21,2024,1,21
1,256,2,5,2,2,0,1,1,0,0,4,1,1,72.72,2024,September,19,0,7,4,1,Long,2024-11-04,2024,11,4
1,87,2,6,1,1,1,0,2,1,0,2,1,0,195.86,2022,August,21,0,8,3,1,Medium,2023-06-27,2023,6,27
1,215,1,5,2,2,0,3,1,1,0,2,0,1,355.62,2024,January,8,1,6,4,1,Long,2023-06-30,2023,6,30
1,358,1,5,1,2,1,3,2,1,1,2,0,0,499.89,2023,August,28,0,6,4,1,Long,2023-05-10,2023,5,10
1,339,1,2,1,0,1,3,1,0,1,2,0,0,207.1,2024,January,28,0,3,2,1,Long,2024-09-05,2024,9,5
1,283,1,5,1,2,0,3,2,0,1,1,0,0,67.75,2022,October,1,0,6,3,1,Long,2022-04-12,2022,4,12
0,106,2,1,1,1,1,3,0,1,0,4,0,1,371.07,2024,February,11,0,3,3,1,Long,2022-10-01,2022,10,1
0,300,2,1,2,2,0,2,1,1,1,2,1,0,165.24,2023,August,15,0,3,4,1,Long,2024-01-09,2024,1,9
1,23,1,5,3,1,1,0,0,1,1,1,0,1,61.01,2023,March,30,0,6,5,1,Short,2024-10-26,2024,10,26
0,231,2,5,3,0,1,2,2,1,1,4,1,2,326.16,2023,December,28,0,7,4,1,Long,2024-04-28,2024,4,28
0,43,1,6,3,0,1,3,0,1,0,3,1,2,321.36,2024,August,20,0,7,4,1,Medium,2023-05-20,2023,5,20
0,77,1,3,3,0,0,0,0,0,1,3,1,0,362.01,2023,May,30,0,4,3,1,Medium,2023-07-23,2023,7,23
0,317,2,3,2,1,0,1,2,1,1,0,1,1,92.14,2022,October,18,1,5,3,1,Long,2024-01-04,2024,1,4
1,142,2,9,3,1,0,0,1,0,1,2,0,2,444.66,2022,October,4,0,11,4,1,Long,2024-12-23,2024,12,23
0,214,0,1,3,0,0,0,1,0,1,3,1,1,155.43,2023,August,28,0,1,3,1,Long,2022-05-01,2022,5,1
1,3,0,8,3,0,1,3,2,0,1,2,0,1,222.36,2024,October,12,0,8,4,1,Last-Minute,2023-01-24,2023,1,24
0,211,2,5,3,2,0,1,2,0,0,0,0,0,87.21,2024,September,27,0,7,5,1,Long,2024-06-04,2024,6,4
0,286,0,9,3,2,0,2,0,1,0,1,1,1,280.54,2022,June,13,0,9,5,1,Long,2024-09-04,2024,9,4
0,314,0,9,2,2,1,1,2,1,0,3,2,0,499.06,2024,April,13,0,9,5,1,Long,2024-02-21,2024,2,21
1,198,2,4,2,0,1,3,0,0,1,0,1,1,142.52,2024,April,28,1,6,3,1,Long,2024-05-19,2024,5,19
0,0,2,6,2,1,1,1,0,0,0,2,0,1,355.36,2022,July,10,1,8,4,1,,2023-09-04,2023,9,4
1,324,1,1,3,0,0,1,1,1,0,1,0,0,465.28,2023,February,11,0,2,3,1,Long,2023-09-26,2023,9,26
0,13,2,1,3,1,0,2,1,1,0,3,2,0,283.6,2024,March,26,0,3,4,1,Short,2022-06-19,2022,6,19
1,221,1,3,1,0,1,0,1,0,0,2,2,0,177.16,2023,March,23,0,4,2,1,Long,2023-11-22,2023,11,22
0,278,2,8,3,0,0,2,0,1,1,3,2,0,220.96,2024,May,28,0,10,3,1,Long,2023-07-07,2023,7,7
1,107,2,3,3,1,0,1,0,0,1,3,1,2,250.83,2024,February,3,0,5,4,1,Long,2023-12-23,2023,12,23
1,117,1,9,2,1,1,0,0,1,0,0,1,2,399.02,2024,December,18,1,10,4,1,Long,2023-10-29,2023,10,29
0,118,2,4,3,1,1,1,1,0,0,1,2,0,193.94,2024,October,19,0,6,5,1,Long,2022-08-11,2022,8,11
1,237,1,1,3,0,0,0,0,0,0,4,2,0,390.23,2023,December,10,1,2,3,1,Long,2024-01-01,2024,1,1
0,353,0,8,3,0,1,3,0,0,1,3,1,1,473.43,2023,July,19,0,8,4,1,Long,2024-01-28,2024,1,28
0,253,0,6,2,2,0,0,1,0,0,4,1,2,131.3,2023,January,27,0,6,4,1,Long,2024-09-18,2024,9,18
0,44,0,6,2,1,0,2,2,1,1,1,0,2,373.85,2022,July,11,0,6,3,1,Medium,2022-07-22,2022,7,22
0,125,1,5,2,0,1,0,1,1,0,3,1,0,261.21,2022,November,6,1,6,3,1,Long,2024-12-08,2024,12,8
0,134,1,5,1,1,0,3,1,1,1,2,1,2,208.92,2024,January,24,0,6,2,1,Long,2022-02-24,2022,2,24
0,312,2,5,3,0,0,2,0,1,0,4,2,0,312.13,2022,August,13,1,7,3,1,Long,2022-08-06,2022,8,6
0,63,2,1,1,1,1,2,1,0,1,4,0,1,346.24,2023,October,6,0,3,3,1,Medium,2022-11-08,2022,11,8
0,257,2,7,2,1,1,2,1,0,0,3,2,2,114.33,2022,November,22,1,9,4,1,Long,2022-02-09,2022,2,9
0,5,1,7,1,2,1,2,1,1,1,3,2,0,331.74,2023,June,4,0,8,4,1,Last-Minute,2022-04-12,2022,4,12
0,363,2,2,1,2,1,2,0,1,0,2,1,1,251.82,2024,September,21,0,4,4,1,Long,2024-12-16,2024,12,16
0,316,2,7,3,2,0,2,1,0,0,4,0,1,352.9,2024,September,24,0,9,5,1,Long,2022-08-08,2022,8,8
1,16,2,3,3,1,1,0,2,0,0,3,2,1,495.88,2024,January,25,0,5,5,1,Short,2024-08-25,2024,8,25
1,281,1,9,2,2,1,2,0,0,1,1,1,1,479.22,2023,November,9,1,10,5,1,Long,2024-11-08,2024,11,8
0,331,2,4,3,0,1,2,1,1,0,4,2,0,179.99,2023,February,26,1,6,4,1,Long,2023-11-29,2023,11,29
0,40,0,8,2,2,0,3,2,1,1,3,0,0,487.93,2024,May,22,0,8,4,1,Medium,2022-08-02,2022,8,2
0,354,1,5,2,1,1,2,2,1,0,0,0,1,323.3,2024,August,22,0,6,4,1,Long,2022-01-13,2022,1,13
0,354,0,5,2,1,0,2,0,1,1,2,2,0,494.62,2023,May,20,1,5,3,1,Long,2024-07-08,2024,7,8
0,309,2,7,1,0,0,3,0,0,1,2,0,1,398.54,2024,January,4,1,9,1,0,Long,2022-10-29,2022,10,29
0,303,0,3,3,0,0,0,2,1,1,3,2,1,379.16,2024,September,10,1,3,3,1,Long,2023-07-16,2023,7,16
0,350,2,6,1,0,1,3,2,0,1,2,2,2,105.29,2024,May,24,0,8,2,1,Long,2023-08-24,2023,8,24
0,231,0,7,2,1,0,1,1,0,1,2,1,1,430.18,2022,June,15,0,7,3,1,Long,2023-01-06,2023,1,6
1,89,0,9,3,0,1,0,1,0,1,2,1,2,484.5,2023,September,22,0,9,4,1,Medium,2023-02-04,2023,2,4
0,149,0,5,1,0,1,1,0,1,1,4,2,2,137.27,2022,December,27,1,5,2,1,Long,2022-01-18,2022,1,18
1,71,0,7,3,0,1,2,2,0,1,2,0,0,154.82,2024,March,14,0,7,4,1,Medium,2023-08-09,2023,8,9
0,359,1,1,1,1,0,1,1,1,0,4,2,2,75.41,2024,January,18,1,2,2,1,Long,2024-07-17,2024,7,17
0,307,1,2,2,1,0,1,2,0,1,3,1,0,411.87,2023,February,8,0,3,3,1,Long,2023-10-30,2023,10,30
1,256,2,4,1,1,0,2,2,1,0,1,2,1,62.07,2024,February,17,1,6,2,1,Long,2024-07-21,2024,7,21
0,44,2,2,3,0,0,2,2,1,0,2,2,1,355.17,2024,December,21,0,4,3,1,Medium,2024-01-17,2024,1,17
1,39,2,9,1,0,0,1,0,0,0,2,0,0,309.34,2023,September,15,0,11,1,0,Medium,2022-01-31,2022,1,31
0,191,0,2,1,0,0,3,1,1,1,4,2,0,241.66,2024,June,27,1,2,1,0,Long,2023-05-12,2023,5,12
0,10,1,2,2,2,1,3,0,1,0,0,0,0,455.08,2024,January,12,0,3,5,1,Short,2023-03-24,2023,3,24
1,351,1,9,2,0,1,3,0,0,0,3,0,0,207.58,2023,October,4,0,10,3,1,Long,2023-07-04,2023,7,4
0,134,2,3,1,0,1,1,2,0,0,1,1,0,216.43,2022,January,12,0,5,2,1,Long,2024-06-02,2024,6,2
1,178,2,7,2,0,1,2,2,1,0,2,2,0,444.19,2023,May,27,0,9,3,1,Long,2022-02-22,2022,2,22
0,220,1,5,1,1,0,2,1,1,1,4,0,1,445.55,2023,June,29,1,6,2,1,Long,2023-12-10,2023,12,10
1,221,2,2,1,1,0,2,0,0,1,4,1,0,65.65,2024,August,10,1,4,2,1,Long,2022-06-30,2022,6,30
1,38,2,5,2,0,1,2,2,1,1,0,1,0,232.95,2022,July,30,1,7,3,1,Medium,2023-11-17,2023,11,17
0,43,2,1,2,2,0,1,0,1,1,0,1,1,163.73,2023,July,1,0,3,4,1,Medium,2024-07-09,2024,7,9
0,312,2,3,2,1,0,0,2,1,1,4,0,0,444.62,2022,July,5,0,5,3,1,Long,2024-01-06,2024,1,6
1,296,1,5,1,0,1,0,2,1,1,0,2,2,123.97,2023,May,21,0,6,2,1,Long,2023-04-23,2023,4,23
0,294,1,3,2,1,1,1,2,0,0,1,0,2,463.59,2023,August,24,0,4,4,1,Long,2023-04-29,2023,4,29
0,147,1,4,2,0,0,2,1,0,1,4,2,0,72.34,2022,April,16,1,5,2,1,Long,2024-09-18,2024,9,18
0,21,0,8,2,0,1,1,1,0,1,0,0,2,62.01,2024,November,23,0,8,3,1,Short,2023-02-28,2023,2,28
1,156,1,8,2,1,0,2,2,0,0,2,0,2,275.02,2022,February,6,0,9,3,1,Long,2022-05-06,2022,5,6
1,301,2,7,2,2,1,3,1,0,0,4,1,1,258.05,2022,November,1,0,9,5,1,Long,2024-09-08,2024,9,8
1,2,1,1,3,0,1,1,1,1,0,0,2,0,96.84,2022,March,8,0,2,4,1,Last-Minute,2024-02-22,2024,2,22
1,200,2,3,2,2,1,0,2,1,1,0,1,0,95.63,2022,October,21,1,5,5,1,Long,2022-03-05,2022,3,5
1,311,1,1,1,2,0,2,1,1,1,0,1,2,241.53,2022,February,14,0,2,3,1,Long,2023-01-24,2023,1,24
1,322,1,1,3,2,0,0,0,0,1,3,1,1,330.4,2024,October,3,1,2,5,1,Long,2024-02-04,2024,2,4
1,344,2,2,3,1,1,1,1,1,1,4,0,1,494.85,2023,September,9,0,4,5,1,Long,2023-10-18,2023,10,18
1,96,0,3,3,0,1,3,1,1,0,2,0,0,94.71,2024,July,29,0,3,4,1,Long,2022-05-25,2022,5,25
1,108,0,4,1,2,1,2,0,1,0,2,1,0,347.13,2024,July,11,0,4,4,1,Long,2024-06-27,2024,6,27
0,227,0,5,2,1,1,0,1,1,1,4,2,0,448.95,2023,January,17,0,5,4,1,Long,2023-05-14,2023,5,14
1,241,0,2,1,2,0,1,0,1,0,4,1,1,75.28,2022,April,16,0,2,3,1,Long,2023-03-04,2023,3,4
0,296,1,8,3,1,0,2,0,1,1,2,2,1,106.38,2023,March,29,0,9,4,1,Long,2024-02-17,2024,2,17
0,28,1,1,2,0,1,3,2,1,1,4,1,1,272.71,2022,November,25,0,2,3,1,Short,2023-09-25,2023,9,25
0,358,2,6,3,0,0,2,0,0,0,1,2,0,67.65,2023,February,25,1,8,3,1,Long,2022-03-24,2022,3,24
1,108,1,6,3,0,0,0,2,1,0,3,0,0,324.32,2024,November,15,0,7,3,1,Long,2022-07-24,2022,7,24
1,10,1,7,3,0,0,3,1,0,1,1,1,1,193.64,2023,May,18,0,8,3,1,Short,2023-01-10,2023,1,10
1,94,0,8,3,2,0,3,0,1,0,3,2,2,225.08,2024,October,14,1,8,5,1,Long,2022-12-28,2022,12,28
1,131,1,9,1,1,0,3,1,1,0,0,2,1,482.17,2024,April,28,0,10,2,1,Long,2023-06-27,2023,6,27
0,92,1,2,3,2,0,2,2,0,0,4,2,2,344.23,2023,September,8,1,3,5,1,Long,2023-09-13,2023,9,13
1,53,0,5,2,1,1,2,0,1,0,3,1,0,316.43,2024,March,3,0,5,4,1,Medium,2024-09-14,2024,9,14
1,241,1,4,3,0,0,1,2,0,0,4,1,2,77.33,2023,December,14,0,5,3,1,Long,2024-03-09,2024,3,9
1,194,1,8,3,0,0,2,0,1,0,0,1,0,384.86,2022,July,12,1,9,3,1,Long,2022-08-30,2022,8,30
1,257,0,4,2,1,0,1,1,1,1,0,1,1,180.55,2022,April,14,0,4,3,1,Long,2023-05-15,2023,5,15
1,355,2,3,2,2,1,3,0,1,1,4,0,1,124.35,2022,August,19,0,5,5,1,Long,2024-11-27,2024,11,27
0,333,2,4,1,2,1,3,0,1,0,1,0,0,363.85,2024,September,11,1,6,4,1,Long,2024-11-10,2024,11,10
1,303,1,1,3,1,1,1,2,0,0,3,1,2,166.73,2023,October,15,1,2,5,1,Long,2023-04-13,2023,4,13
0,67,1,6,1,2,1,1,1,0,1,2,0,1,267.95,2022,April,10,0,7,4,1,Medium,2024-10-29,2024,10,29
1,299,0,6,3,0,0,2,1,1,1,0,1,1,494.71,2022,June,18,1,6,3,1,Long,2023-11-10,2023,11,10
0,189,1,1,2,1,0,2,0,0,0,0,0,2,205.92,2022,January,24,1,2,3,1,Long,2024-11-19,2024,11,19
1,127,2,2,1,0,0,0,2,1,1,0,2,2,171.92,2023,July,12,0,4,1,0,Long,2022-11-10,2022,11,10
1,349,1,6,1,1,1,0,1,0,1,2,0,0,458.0,2023,December,14,0,7,3,1,Long,2023-04-28,2023,4,28
0,338,0,4,3,1,0,0,0,0,1,1,0,0,100.36,2024,April,13,0,4,4,1,Long,2024-06-12,2024,6,12
0,18,2,3,3,2,0,0,2,0,1,3,2,0,322.97,2024,May,4,1,5,5,1,Short,2023-04-30,2023,4,30
0,171,2,1,2,1,1,0,1,0,1,0,1,2,82.01,2022,March,16,0,3,4,1,Long,2023-05-04,2023,5,4
1,61,1,6,2,2,1,3,2,1,1,1,0,2,488.8,2024,October,7,0,7,5,1,Medium,2023-09-18,2023,9,18
0,66,0,5,3,0,0,1,0,1,1,1,1,0,276.72,2022,February,7,0,5,3,1,Medium,2022-07-31,2022,7,31
1,210,1,7,3,1,1,3,1,1,0,4,2,2,379.51,2023,April,25,0,8,5,1,Long,2024-11-17,2024,11,17
1,341,0,8,2,1,1,0,2,1,1,4,2,0,84.39,2024,October,29,0,8,4,1,Long,2024-11-17,2024,11,17
0,174,2,8,1,2,0,0,0,0,1,4,1,1,410.57,2024,December,18,0,10,3,1,Long,2022-07-28,2022,7,28
0,339,2,5,1,1,1,2,0,0,1,4,0,1,477.45,2022,May,20,1,7,3,1,Long,2024-08-02,2024,8,2
1,6,1,3,2,0,0,0,1,1,0,2,2,1,118.75,2023,September,8,1,4,2,1,Last-Minute,2024-08-04,2024,8,4
1,232,2,6,1,2,1,1,1,0,0,0,0,0,244.64,2024,January,25,0,8,4,1,Long,2023-08-07,2023,8,7
0,198,2,3,2,1,1,1,2,0,0,0,0,2,394.52,2024,August,19,0,5,4,1,Long,2022-03-07,2022,3,7
0,21,1,5,1,1,1,2,0,1,1,2,0,0,58.45,2024,August,11,0,6,3,1,Short,2023-09-20,2023,9,20
0,228,0,8,2,2,1,3,0,0,1,2,0,0,228.89,2023,December,13,0,8,5,1,Long,2024-06-01,2024,6,1
1,312,2,3,3,2,0,2,1,0,0,0,1,2,232.95,2022,February,24,0,5,5,1,Long,2023-04-20,2023,4,20
1,349,0,6,3,1,0,1,2,0,1,0,1,1,156.47,2023,November,2,0,6,4,1,Long,2024-09-27,2024,9,27
1,124,2,9,1,1,0,3,1,1,0,4,2,0,333.62,2024,May,15,0,11,2,1,Long,2022-09-23,2022,9,23
1,72,2,2,1,1,1,1,1,0,1,0,1,1,194.7,2023,November,20,1,4,3,1,Medium,2024-11-12,2024,11,12
1,185,2,3,1,1,0,3,2,1,1,4,0,0,408.81,2023,July,4,0,5,2,1,Long,2024-05-31,2024,5,31
1,282,1,9,3,2,1,1,0,0,1,0,2,1,138.08,2024,May,19,0,10,6,1,Long,2024-05-22,2024,5,22
0,37,2,4,1,0,1,1,2,0,0,0,1,1,280.33,2022,September,5,1,6,2,1,Medium,2023-05-22,2023,5,22
1,247,0,5,1,2,1,2,2,0,0,2,2,1,216.55,2022,February,11,1,5,4,1,Long,2022-09-11,2022,9,11
1,75,2,2,2,2,1,1,0,0,1,4,0,0,246.17,2024,August,17,0,4,5,1,Medium,2023-07-18,2023,7,18
1,140,1,4,1,0,0,3,2,0,0,3,0,2,168.83,2023,April,21,1,5,1,0,Long,2024-08-02,2024,8,2
0,96,2,8,1,0,0,3,1,1,0,4,1,2,437.91,2024,March,22,0,10,1,0,Long,2024-04-22,2024,4,22
1,142,0,9,2,1,0,0,0,1,1,1,1,1,166.32,2023,October,7,1,9,3,1,Long,2022-07-11,2022,7,11
1,79,1,7,1,2,0,0,0,1,1,2,0,2,383.2,2024,August,3,1,8,3,1,Medium,2022-03-19,2022,3,19
0,255,1,6,3,0,0,1,2,1,0,2,1,2,170.31,2024,September,20,1,7,3,1,Long,2022-11-05,2022,11,5
1,353,1,6,3,1,0,0,1,0,0,2,0,2,213.91,2023,April,29,0,7,4,1,Long,2024-06-14,2024,6,14
1,303,0,4,3,0,0,2,2,1,0,3,0,2,414.61,2022,October,16,0,4,3,1,Long,2023-01-07,2023,1,7
1,14,0,6,2,1,0,1,1,1,1,1,2,1,76.69,2022,March,20,0,6,3,1,Short,2022-11-26,2022,11,26
1,354,2,5,2,2,0,1,2,1,0,1,0,1,167.31,2022,March,11,0,7,4,1,Long,2024-01-08,2024,1,8
1,295,0,2,2,2,1,0,1,1,1,1,1,0,122.69,2023,June,15,1,2,5,1,Long,2022-06-15,2022,6,15
0,285,2,9,3,2,1,3,2,1,0,0,1,2,493.27,2022,November,26,0,11,6,1,Long,2023-06-13,2023,6,13
0,22,1,5,2,0,1,0,1,1,1,4,0,1,318.1,2024,January,10,1,6,3,1,Short,2022-04-25,2022,4,25
0,264,0,7,2,1,0,2,2,1,0,3,1,2,56.44,2023,June,3,0,7,3,1,Long,2022-12-24,2022,12,24
1,159,2,5,2,2,1,3,2,1,0,2,2,1,92.44,2022,January,27,0,7,5,1,Long,2024-10-12,2024,10,12
1,290,1,1,1,2,0,2,0,0,1,1,1,0,444.35,2023,May,22,0,2,3,1,Long,2022-12-13,2022,12,13
1,304,2,3,3,2,0,2,2,1,0,1,2,1,289.69,2024,November,28,0,5,5,1,Long,2023-01-09,2023,1,9
0,95,0,3,3,0,0,2,0,1,0,2,2,1,466.7,2023,October,23,1,3,3,1,Long,2024-09-23,2024,9,23
1,271,2,6,2,1,1,1,1,0,1,0,1,2,338.09,2022,May,7,0,8,4,1,Long,2022-08-15,2022,8,15
1,287,2,4,2,0,0,3,0,1,1,1,2,0,291.67,2024,September,21,0,6,2,1,Long,2024-10-23,2024,10,23
0,280,1,4,1,0,0,2,0,0,0,0,0,0,204.52,2023,October,30,0,5,1,0,Long,2024-05-17,2024,5,17
1,349,1,6,2,2,1,3,2,0,1,4,0,1,255.32,2022,April,10,0,7,5,1,Long,2024-12-08,2024,12,8
0,292,2,3,2,2,0,1,1,0,0,1,0,1,398.02,2023,July,17,0,5,4,1,Long,2022-10-04,2022,10,4
0,36,0,6,3,0,0,3,0,1,0,0,1,0,369.59,2022,September,28,1,6,3,1,Medium,2024-06-12,2024,6,12
0,162,1,3,1,0,1,1,0,1,1,3,1,0,308.68,2022,February,9,1,4,2,1,Long,2024-01-26,2024,1,26
1,300,0,1,1,1,1,0,1,1,1,0,1,0,113.72,2022,October,11,0,1,3,1,Long,2022-02-23,2022,2,23
1,135,2,6,3,1,1,3,1,0,0,3,0,2,320.29,2024,September,21,1,8,5,1,Long,2022-10-23,2022,10,23
1,240,2,9,3,2,0,2,0,0,1,0,0,0,315.77,2022,May,18,0,11,5,1,Long,2022-03-02,2022,3,2
